nb_cons,nb_prod,nb threads,Mesure i,time
18,18,4,4,0:00.20
18,18,4,5,0:00.21
19,18,4,1,0:00.20
19,18,4,2,0:00.20
19,18,4,3,0:00.20
19,18,4,4,0:00.20
19,18,4,5,0:00.20
19,19,4,1,0:00.20
19,19,4,2,0:00.20
19,19,4,3,0:00.20
19,19,4,4,0:00.19
19,19,4,5,0:00.19
20,19,4,1,0:00.19
20,19,4,2,0:00.20
20,19,4,3,0:00.20
20,19,4,4,0:00.20
20,19,4,5,0:00.19
20,20,4,1,0:00.19
20,20,4,2,0:00.19
20,20,4,3,0:00.19
20,20,4,4,0:00.18
20,20,4,5,0:00.20
21,20,4,1,0:00.17
21,20,4,2,0:00.19
21,20,4,3,0:00.18
21,20,4,4,0:00.19
21,20,4,5,0:00.19
21,21,4,1,0:00.19
21,21,4,2,0:00.19
21,21,4,3,0:00.18
21,21,4,4,0:00.19
21,21,4,5,0:00.19
22,21,4,1,0:00.19
22,21,4,2,0:00.20
22,21,4,3,0:00.20
22,21,4,4,0:00.19
22,21,4,5,0:00.19
22,22,4,1,0:00.19
22,22,4,2,0:00.19
22,22,4,3,0:00.19
22,22,4,4,0:00.19
22,22,4,5,0:00.19
23,22,4,1,0:00.20
23,22,4,2,0:00.23
23,22,4,3,0:00.18
23,22,4,4,0:00.18
23,22,4,5,0:00.19
23,23,4,1,0:00.19
23,23,4,2,0:00.18
23,23,4,3,0:00.19
23,23,4,4,0:00.19
23,23,4,5,0:00.19
24,23,4,1,0:00.19
24,23,4,2,0:00.18
24,23,4,3,0:00.19
24,23,4,4,0:00.19
24,23,4,5,0:00.18
24,24,4,1,0:00.19
24,24,4,2,0:00.20
24,24,4,3,0:00.19
24,24,4,4,0:00.18
24,24,4,5,0:00.17
25,24,4,1,0:00.19
25,24,4,2,0:00.20
25,24,4,3,0:00.18
25,24,4,4,0:00.19
25,24,4,5,0:00.18
25,25,4,1,0:00.18
25,25,4,2,0:00.19
25,25,4,3,0:00.20
25,25,4,4,0:00.20
25,25,4,5,0:00.19
26,25,4,1,0:00.19
26,25,4,2,0:00.19
26,25,4,3,0:00.19
26,25,4,4,0:00.19
26,25,4,5,0:00.20
26,26,4,1,0:00.19
26,26,4,2,0:00.18
26,26,4,3,0:00.19
26,26,4,4,0:00.19
26,26,4,5,0:00.19
27,26,4,1,0:00.19
27,26,4,2,0:00.20
27,26,4,3,0:00.18
27,26,4,4,0:00.19
27,26,4,5,0:00.18
27,27,4,1,0:00.19
27,27,4,2,0:00.18
27,27,4,3,0:00.21
27,27,4,4,0:00.20
27,27,4,5,0:00.21
28,27,4,1,0:00.20
28,27,4,2,0:00.20
28,27,4,3,0:00.21
28,27,4,4,0:00.20
28,27,4,5,0:00.20
28,28,4,1,0:00.20
28,28,4,2,0:00.20
28,28,4,3,0:00.18
28,28,4,4,0:00.19
28,28,4,5,0:00.18
29,28,4,1,0:00.18
29,28,4,2,0:00.19
29,28,4,3,0:00.19
29,28,4,4,0:00.18
29,28,4,5,0:00.19
29,29,4,1,0:00.18
29,29,4,2,0:00.19
29,29,4,3,0:00.19
29,29,4,4,0:00.19
29,29,4,5,0:00.19
30,29,4,1,0:00.18
30,29,4,2,0:00.19
30,29,4,3,0:00.19
30,29,4,4,0:00.19
30,29,4,5,0:00.19
30,30,4,1,0:00.19
30,30,4,2,0:00.18
30,30,4,3,0:00.20
30,30,4,4,0:00.19
30,30,4,5,0:00.19
31,30,4,1,0:00.19
31,30,4,2,0:00.19
31,30,4,3,0:00.19
31,30,4,4,0:00.19
31,30,4,5,0:00.19
31,31,4,1,0:00.19
31,31,4,2,0:00.19
31,31,4,3,0:00.19
31,31,4,4,0:00.19
31,31,4,5,0:00.20
32,31,4,1,0:00.19
32,31,4,2,0:00.19
32,31,4,3,0:00.18
32,31,4,4,0:00.19
32,31,4,5,0:00.18
32,32,4,1,0:00.18
32,32,4,2,0:00.19
32,32,4,3,0:00.20
32,32,4,4,0:00.19
32,32,4,5,0:00.19
1,1,8,1,0:00.27
1,1,8,2,0:00.29
1,1,8,3,0:00.28
1,1,8,4,0:00.27
1,1,8,5,0:00.27
2,1,8,1,0:00.31
2,1,8,2,0:00.31
2,1,8,3,0:00.32
2,1,8,4,0:00.31
2,1,8,5,0:00.31
2,2,8,1,0:00.19
2,2,8,2,0:00.19
2,2,8,3,0:00.14
2,2,8,4,0:00.16
2,2,8,5,0:00.18
3,2,8,1,0:00.28
3,2,8,2,0:00.25
3,2,8,3,0:00.28
3,2,8,4,0:00.15
3,2,8,5,0:00.16
3,3,8,1,0:00.22
3,3,8,2,0:00.21
3,3,8,3,0:00.17
3,3,8,4,0:00.22
3,3,8,5,0:00.22
4,3,8,1,0:00.19
4,3,8,2,0:00.18
4,3,8,3,0:00.18
4,3,8,4,0:00.18
4,3,8,5,0:00.20
4,4,8,1,0:00.19
4,4,8,2,0:00.18
4,4,8,3,0:00.16
4,4,8,4,0:00.19
4,4,8,5,0:00.17
5,4,8,1,0:00.23
5,4,8,2,0:00.20
5,4,8,3,0:00.21
5,4,8,4,0:00.19
5,4,8,5,0:00.21
5,5,8,1,0:00.18
5,5,8,2,0:00.19
